"MUN","AGEB","NOM_LOC","POBTOT","TVIVPARHAB"
"001","0000","Total del municipio",67872,"17393"
"001","0127","Total AGEB urbana",3373,"921"
"001","0220","Total AGEB urbana",373,"89"
"001","0235","Total AGEB urbana",378,"92"
"001","0254","Total AGEB urbana",171,"44"
"001","0269","Total AGEB urbana",155,"41"
"001","0273","Total AGEB urbana",149,"36"
"001","0288","Total AGEB urbana",596,"162"
"001","0324","Total AGEB urbana",93,"21"
"001","0339","Total AGEB urbana",309,"79"
"001","0343","Total AGEB urbana",391,"98"
"001","0305","Total AGEB urbana",2821,"711"
"001","031A","Total AGEB urbana",1843,"448"
"002","0000","Total del municipio",171507,"45395"
"002","0228","Total AGEB urbana",2613,"718"
"002","0232","Total AGEB urbana",3555,"1012"
"002","050A","Total AGEB urbana",255,"62"
"002","0514","Total AGEB urbana",26,"5"
"002","0177","Total AGEB urbana",6148,"1636"
"002","036A","Total AGEB urbana",3652,"944"
"002","0374","Total AGEB urbana",1033,"280"
"002","0389","Total AGEB urbana",357,"95"
"002","068A","Total AGEB urbana",420,"110"
"002","0656","Total AGEB urbana",1969,"528"
"002","0660","Total AGEB urbana",1636,"441"
"002","0181","Total AGEB urbana",5816,"1573"
"002","0694","Total AGEB urbana",892,"316"
"002","0069","Total AGEB urbana",130,"37"
"002","0073","Total AGEB urbana",2559,"688"
"002","0088","Total AGEB urbana",567,"149"
"002","0105","Total AGEB urbana",418,"105"
"002","011A","Total AGEB urbana",245,"58"
"002","0124","Total AGEB urbana",3580,"957"
"002","0143","Total AGEB urbana",4642,"1227"
"002","0158","Total AGEB urbana",4498,"1149"
"002","0196","Total AGEB urbana",2553,"682"
"002","0247","Total AGEB urbana",2860,"739"
"002","0251","Total AGEB urbana",2777,"709"
"002","0266","Total AGEB urbana",3778,"983"
"002","0270","Total AGEB urbana",2847,"774"
"002","0285","Total AGEB urbana",3721,"989"
"002","029A","Total AGEB urbana",4719,"1344"
"002","0302","Total AGEB urbana",0,"0"
"002","0336","Total AGEB urbana",2565,"741"
"002","0340","Total AGEB urbana",2343,"718"
"002","0355","Total AGEB urbana",1187,"329"
"002","0410","Total AGEB urbana",765,"196"
"002","0425","Total AGEB urbana",392,"104"
"002","043A","Total AGEB urbana",1750,"460"
"002","0444","Total AGEB urbana",1664,"412"
"002","0459","Total AGEB urbana",7431,"2143"
"002","0463","Total AGEB urbana",6158,"1859"
"002","0478","Total AGEB urbana",7834,"2413"
"002","0482","Total AGEB urbana",9921,"2969"
"002","0497","Total AGEB urbana",3764,"1156"
"002","0533","Total AGEB urbana",1572,"440"
"002","0548","Total AGEB urbana",4386,"1013"
"002","0552","Total AGEB urbana",3590,"879"
"002","0567","Total AGEB urbana",4827,"1200"
"002","0571","Total AGEB urbana",1732,"412"
"002","0586","Total AGEB urbana",3398,"897"
"002","0590","Total AGEB urbana",2962,"755"
"002","0603","Total AGEB urbana",1909,"466"
"002","0618","Total AGEB urbana",1739,"474"
"002","0622","Total AGEB urbana",2239,"573"
"002","0637","Total AGEB urbana",3581,"897"
"002","0641","Total AGEB urbana",3170,"780"
"002","0675","Total AGEB urbana",5,"*"
"002","0162","Total AGEB urbana",2936,"711"
"002","0209","Total AGEB urbana",1969,"548"
"002","0529","Total AGEB urbana",505,"129"
"002","0393","Total AGEB urbana",5984,"144"
"002","0016","Total AGEB urbana",5561,"1774"
"003","0000","Total del municipio",49266,"13109"
"003","0117","Total AGEB urbana",1957,"603"
"003","0225","Total AGEB urbana",2832,"648"
"004","0000","Total del municipio",15333,"4189"
"004","0044","Total AGEB urbana",3158,"874"
"005","0000","Total del municipio",174587,"42209"
"005","0164","Total AGEB urbana",1104,"328"
"005","0361","Total AGEB urbana",951,"258"
"005","0450","Total AGEB urbana",966,"249"
"005","0215","Total AGEB urbana",7929,"1902"
"005","0431","Total AGEB urbana",5123,"1168"
"005","022A","Total AGEB urbana",4040,"979"
"005","0287","Total AGEB urbana",3060,"698"
"005","0145","Total AGEB urbana",9373,"2154"
"005","015A","Total AGEB urbana",2475,"580"
"005","0376","Total AGEB urbana",1105,"262"
"005","047A","Total AGEB urbana",60,"13"
"005","0484","Total AGEB urbana",4222,"1271"
"005","0380","Total AGEB urbana",5054,"1194"
"005","0499","Total AGEB urbana",3877,"859"
"005","0395","Total AGEB urbana",3595,"847"
"005","0287","Total AGEB urbana",2527,"566"
"005","0338","Total AGEB urbana",3997,"926"
"005","0342","Total AGEB urbana",11746,"1834"
"005","0323","Total AGEB urbana",2615,"629"
"005","0501","Total AGEB urbana",2632,"809"
"005","0516","Total AGEB urbana",3227,"952"
"005","0520","Total AGEB urbana",5636,"1634"
"005","0535","Total AGEB urbana",1381,"392"
"005","054A","Total AGEB urbana",343,"94"
"005","0554","Total AGEB urbana",918,"257"
"005","0304","Total AGEB urbana",2887,"825"
"005","0573","Total AGEB urbana",5503,"1637"
"005","0588","Total AGEB urbana",2576,"788"
"006","0000","Total del municipio",12694,"2925"
"006","0049","Total AGEB urbana",5126,"1153"
"006","0053","Total AGEB urbana",4700,"1122"
"006","0068","Total AGEB urbana",744,"181"
"006","0072","Total AGEB urbana",222,"49"
"007","0000","Total del municipio",23675,"6079"
"007","0046","Total AGEB urbana",1517,"440"
"007","0050","Total AGEB urbana",2982,"744"
"007","0065","Total AGEB urbana",2683,"650"
"007","0065","Total AGEB urbana",3253,"808"
"008","0000","Total del municipio",25244,"6936"
"008","0081","Total AGEB urbana",1911,"534"
"008","0151","Total AGEB urbana",1278,"373"
"008","0166","Total AGEB urbana",1038,"312"
"008","0170","Total AGEB urbana",237,"70"
"008","0185","Total AGEB urbana",27,"8"
"008","019A","Total AGEB urbana",339,"96"
"008","0202","Total AGEB urbana",58,"18"
"008","0217","Total AGEB urbana",45,"14"
"009","0000","Total del municipio",53441,"13447"
"009","0036","Total AGEB urbana",5444,"1526"
"009","0040","Total AGEB urbana",7111,"1749"
"009","006A","Total AGEB urbana",6330,"1604"
"009","0093","Total AGEB urbana",2643,"614"
"009","0125","Total AGEB urbana",1070,"245"
"009","0144","Total AGEB urbana",3695,"1052"
"009","0159","Total AGEB urbana",6129,"1582"
"009","0182","Total AGEB urbana",5,"*"
"009","0252","Total AGEB urbana",179,"54"
"009","0267","Total AGEB urbana",1110,"284"
"009","0017","Total AGEB urbana",1436,"380"
"009","0021","Total AGEB urbana",1787,"434"
"009","0233","Total AGEB urbana",2024,"504"
"009","0106","Total AGEB urbana",2825,"622"
"009","0110","Total AGEB urbana",2615,"600"
"009","0248","Total AGEB urbana",1,"*"
"009","0074","Total AGEB urbana",2610,"641"
"010","0000","Total del municipio",31898,"8169"
"010","015A","Total AGEB urbana",645,"172"
"010","0179","Total AGEB urbana",536,"129"
"010","0198","Total AGEB urbana",2161,"558"
"010","0200","Total AGEB urbana",2690,"732"
"010","0215","Total AGEB urbana",1984,"561"
"010","022A","Total AGEB urbana",3556,"902"
"010","0234","Total AGEB urbana",834,"224"
"010","0249","Total AGEB urbana",1948,"488"
"010","0253","Total AGEB urbana",195,"48"
"010","0268","Total AGEB urbana",30,"7"
"010","0272","Total AGEB urbana",42,"10"
"010","0287","Total AGEB urbana",157,"41"
"010","0291","Total AGEB urbana",219,"62"
"010","0304","Total AGEB urbana",174,"49"
"010","0041","Total AGEB urbana",3878,"989"
"010","0183","Total AGEB urbana",3990,"1010"
"011","0000","Total del municipio",75489,"18733"
"011","0053","Total AGEB urbana",4150,"977"
"011","0068","Total AGEB urbana",7448,"1763"
"011","0123","Total AGEB urbana",2231,"546"
"011","0138","Total AGEB urbana",1212,"278"
"011","0142","Total AGEB urbana",2543,"641"
"011","0176","Total AGEB urbana",1098,"272"
"011","0180","Total AGEB urbana",835,"196"
"011","0231","Total AGEB urbana",306,"82"
"011","0049","Total AGEB urbana",4935,"1277"
"011","0161","Total AGEB urbana",1268,"335"
"011","0212","Total AGEB urbana",235,"59"
"011","0227","Total AGEB urbana",1148,"277"
"011","0246","Total AGEB urbana",158,"46"
"011","0034","Total AGEB urbana",4004,"1014"
"011","0157","Total AGEB urbana",929,"221"
"011","034A","Total AGEB urbana",615,"163"
"011","0015","Total AGEB urbana",4137,"897"
"011","0250","Total AGEB urbana",3378,"866"
"011","0265","Total AGEB urbana",2632,"687"
"011","0354","Total AGEB urbana",335,"96"
"011","002A","Total AGEB urbana",3649,"908"
"011","0284","Total AGEB urbana",2649,"707"
"011","0299","Total AGEB urbana",1384,"364"
"011","0301","Total AGEB urbana",1748,"433"
"011","0316","Total AGEB urbana",1460,"330"
"011","0320","Total AGEB urbana",1751,"461"
"011","0072","Total AGEB urbana",4523,"1116"
"011","0087","Total AGEB urbana",3078,"833"
"011","0091","Total AGEB urbana",844,"220"
"011","0195","Total AGEB urbana",4374,"1105"
"012","0000","Total del municipio",12984,"2856"
"012","0046","Total AGEB urbana",4187,"871"
"012","0050","Total AGEB urbana",3654,"815"
"012","0065","Total AGEB urbana",1635,"365"
"012","007A","Total AGEB urbana",903,"181"
"012","0084","Total AGEB urbana",494,"110"
"013","0000","Total del municipio",523674,"150367"
"013","0039","Total AGEB urbana",3697,"1009"
"013","0062","Total AGEB urbana",7797,"2283"
"013","0128","Total AGEB urbana",3651,"1299"
"013","0132","Total AGEB urbana",1978,"676"
"013","0147","Total AGEB urbana",4870,"1371"
"013","0170","Total AGEB urbana",5911,"1874"
"013","0202","Total AGEB urbana",3759,"1249"
"013","0221","Total AGEB urbana",4256,"1278"
"013","0236","Total AGEB urbana",6935,"2121"
"013","0255","Total AGEB urbana",5902,"1903"
"013","0274","Total AGEB urbana",5867,"1479"
"013","0344","Total AGEB urbana",1521,"445"
"013","0359","Total AGEB urbana",783,"241"
"013","0363","Total AGEB urbana",1522,"569"
"013","0378","Total AGEB urbana",54,"16"
"013","0382","Total AGEB urbana",2707,"796"
"013","0397","Total AGEB urbana",2227,"797"
"013","040A","Total AGEB urbana",6549,"2038"
"013","0429","Total AGEB urbana",620,"204"
"013","0433","Total AGEB urbana",4641,"1587"
"013","0448","Total AGEB urbana",3071,"952"
"013","0490","Total AGEB urbana",5923,"1625"
"013","0503","Total AGEB urbana",2164,"568"
"013","0522","Total AGEB urbana",4890,"1595"
"013","0556","Total AGEB urbana",7690,"2097"
"013","0560","Total AGEB urbana",5139,"1410"
"013","058A","Total AGEB urbana",1042,"306"
"013","0594","Total AGEB urbana",903,"263"
"013","0607","Total AGEB urbana",1851,"497"
"013","0611","Total AGEB urbana",1203,"348"
"013","0626","Total AGEB urbana",1183,"335"
"013","0630","Total AGEB urbana",5533,"1402"
"013","0645","Total AGEB urbana",774,"229"
"013","065A","Total AGEB urbana",1042,"308"
"013","0664","Total AGEB urbana",2831,"1162"
"013","0679","Total AGEB urbana",2396,"811"
"013","0700","Total AGEB urbana",744,"246"
"013","0715","Total AGEB urbana",4086,"1089"
"013","072A","Total AGEB urbana",724,"185"
"013","0734","Total AGEB urbana",7755,"1907"
"013","0749","Total AGEB urbana",1687,"471"
"013","0772","Total AGEB urbana",3394,"943"
"013","0787","Total AGEB urbana",1850,"590"
"013","0791","Total AGEB urbana",241,"74"
"013","0895","Total AGEB urbana",4954,"1688"
"013","0912","Total AGEB urbana",8251,"2339"
"013","0927","Total AGEB urbana",7087,"1852"
"013","0931","Total AGEB urbana",10835,"2779"
"013","0946","Total AGEB urbana",2984,"851"
"013","0950","Total AGEB urbana",3440,"881"
"013","0965","Total AGEB urbana",4309,"1257"
"013","097A","Total AGEB urbana",3745,"1302"
"013","0984","Total AGEB urbana",3124,"1029"
"013","0999","Total AGEB urbana",4320,"1355"
"013","1003","Total AGEB urbana",6622,"1757"
"013","1018","Total AGEB urbana",10624,"2985"
"013","1022","Total AGEB urbana",6011,"1639"
"013","1037","Total AGEB urbana",4458,"1459"
"013","1041","Total AGEB urbana",5013,"1438"
"013","1056","Total AGEB urbana",2906,"882"
"013","1060","Total AGEB urbana",2334,"720"
"013","1075","Total AGEB urbana",4626,"1527"
"013","108A","Total AGEB urbana",3485,"1185"
"013","1094","Total AGEB urbana",2092,"707"
"013","1107","Total AGEB urbana",3656,"1159"
"013","1111","Total AGEB urbana",3569,"1288"
"013","1130","Total AGEB urbana",2162,"600"
"013","1179","Total AGEB urbana",5036,"1250"
"013","1183","Total AGEB urbana",5789,"1433"
"013","1198","Total AGEB urbana",3568,"869"
"013","1234","Total AGEB urbana",5070,"1331"
"013","1249","Total AGEB urbana",4082,"1082"
"013","1253","Total AGEB urbana",3761,"1014"
"013","1268","Total AGEB urbana",3253,"1097"
"013","1272","Total AGEB urbana",5287,"1599"
"013","1287","Total AGEB urbana",3230,"894"
"013","1291","Total AGEB urbana",3798,"1001"
"013","1304","Total AGEB urbana",2929,"818"
"013","1319","Total AGEB urbana",5288,"1512"
"013","1323","Total AGEB urbana",2858,"909"
"013","1338","Total AGEB urbana",6705,"1691"
"013","1342","Total AGEB urbana",5410,"1294"
"013","1357","Total AGEB urbana",4122,"1161"
"013","1361","Total AGEB urbana",5675,"1424"
"013","1376","Total AGEB urbana",9043,"2789"
"013","1380","Total AGEB urbana",4033,"1062"
"013","1395","Total AGEB urbana",5306,"1374"
"013","1408","Total AGEB urbana",5939,"1611"
"013","1412","Total AGEB urbana",5651,"1429"
"013","1427","Total AGEB urbana",7221,"1858"
"013","1431","Total AGEB urbana",6058,"1599"
"013","1446","Total AGEB urbana",5816,"1546"
"013","1450","Total AGEB urbana",6472,"1627"
"013","1465","Total AGEB urbana",3253,"999"
"013","147A","Total AGEB urbana",8065,"2246"
"013","1484","Total AGEB urbana",6229,"1544"
"013","1499","Total AGEB urbana",7729,"1903"
"013","1501","Total AGEB urbana",5055,"1331"
"013","1516","Total AGEB urbana",4015,"1059"
"013","1520","Total AGEB urbana",5281,"1270"
"013","1535","Total AGEB urbana",3798,"970"
"013","154A","Total AGEB urbana",1964,"777"
"013","1554","Total AGEB urbana",2283,"890"
"013","1569","Total AGEB urbana",3219,"1213"
"013","1573","Total AGEB urbana",3064,"794"
"013","1588","Total AGEB urbana",4866,"1256"
"013","1592","Total AGEB urbana",265,"78"
"013","1605","Total AGEB urbana",0,"0"
"013","161A","Total AGEB urbana",4301,"1185"
"013","1624","Total AGEB urbana",2159,"683"
"013","1639","Total AGEB urbana",2696,"727"
"013","1643","Total AGEB urbana",3276,"790"
"013","1658","Total AGEB urbana",3793,"976"
"013","1662","Total AGEB urbana",5286,"1449"
"013","1677","Total AGEB urbana",2012,"730"
"013","1681","Total AGEB urbana",4052,"1426"
"013","1696","Total AGEB urbana",3381,"1125"
"013","1709","Total AGEB urbana",165,"54"
"013","1713","Total AGEB urbana",3175,"1068"
"013","1728","Total AGEB urbana",4089,"1271"
"013","1732","Total AGEB urbana",3277,"1128"
"013","1747","Total AGEB urbana",2064,"672"
"013","1751","Total AGEB urbana",2626,"664"
"013","1766","Total AGEB urbana",3188,"848"
"013","1770","Total AGEB urbana",3672,"912"
"013","1785","Total AGEB urbana",3980,"996"
"013","179A","Total AGEB urbana",2088,"524"
"013","1802","Total AGEB urbana",2893,"756"
"013","1817","Total AGEB urbana",3357,"863"
"013","1821","Total AGEB urbana",0,"0"
"013","1836","Total AGEB urbana",4,"*"
"013","1840","Total AGEB urbana",767,"223"
"013","1855","Total AGEB urbana",517,"224"
"013","186A","Total AGEB urbana",8949,"2930"
"013","1874","Total AGEB urbana",411,"164"
"013","1893","Total AGEB urbana",2314,"788"
"013","1906","Total AGEB urbana",117,"63"
"014","0000","Total del municipio",109384,"27878"
"014","0110","Total AGEB urbana",1514,"430"
"014","0125","Total AGEB urbana",879,"264"
"014","013A","Total AGEB urbana",2432,"702"
"014","0214","Total AGEB urbana",890,"285"
"014","0229","Total AGEB urbana",3081,"861"
"014","0267","Total AGEB urbana",1386,"417"
"014","0271","Total AGEB urbana",100,"31"
"014","0322","Total AGEB urbana",1763,"564"
"014","0337","Total AGEB urbana",3189,"886"
"014","0341","Total AGEB urbana",2040,"707"
"014","0356","Total AGEB urbana",2185,"634"
"014","0394","Total AGEB urbana",599,"160"
"014","0411","Total AGEB urbana",1504,"421"
"014","0426","Total AGEB urbana",1213,"373"
"014","0445","Total AGEB urbana",9,"*"
"014","045A","Total AGEB urbana",0,"0"
"014","0534","Total AGEB urbana",132,"30"
"014","0549","Total AGEB urbana",303,"83"
"014","0163","Total AGEB urbana",2517,"577"
"014","0479","Total AGEB urbana",2382,"543"
"014","0483","Total AGEB urbana",2241,"510"
"014","0553","Total AGEB urbana",102,"26"
"014","0163","Total AGEB urbana",3064,"715"
"014","0163","Total AGEB urbana",2660,"602"
"014","0498","Total AGEB urbana",3605,"768"
"014","0500","Total AGEB urbana",4573,"1039"
"014","0572","Total AGEB urbana",438,"108"
"014","0515","Total AGEB urbana",1710,"402"
"014","052A","Total AGEB urbana",3021,"721"
"014","0197","Total AGEB urbana",4938,"1354"
"014","006A","Total AGEB urbana",3005,"708"
"014","0233","Total AGEB urbana",1997,"425"
"014","0252","Total AGEB urbana",1607,"349"
"014","0290","Total AGEB urbana",692,"150"
"014","0568","Total AGEB urbana",63,"15"
"014","0430","Total AGEB urbana",3534,"888"
"014","0163","Total AGEB urbana",3884,"999"
"015","0000","Total del municipio",31900,"7506"
"015","0156","Total AGEB urbana",825,"191"
"015","0160","Total AGEB urbana",82,"23"
"015","0175","Total AGEB urbana",158,"39"
"015","0207","Total AGEB urbana",4445,"993"
"015","0211","Total AGEB urbana",2907,"674"
"015","0226","Total AGEB urbana",3750,"870"
"015","025A","Total AGEB urbana",276,"71"
"015","0264","Total AGEB urbana",34,"7"
"015","0071","Total AGEB urbana",3402,"788"
"015","018A","Total AGEB urbana",320,"80"
"015","0194","Total AGEB urbana",578,"144"
"015","0141","Total AGEB urbana",488,"114"
"015","0230","Total AGEB urbana",3202,"771"
"015","0245","Total AGEB urbana",3734,"879"
"015","0283","Total AGEB urbana",57,"14"
"015","0086","Total AGEB urbana",1311,"291"
"015","0122","Total AGEB urbana",2005,"457"
"015","0137","Total AGEB urbana",1130,"244"
"015","0279","Total AGEB urbana",122,"30"
"015","0298","Total AGEB urbana",25,"5"
"016","0000","Total del municipio",29128,"7756"
"016","0149","Total AGEB urbana",628,"151"
"016","0219","Total AGEB urbana",1729,"465"
"016","0223","Total AGEB urbana",1445,"422"
"016","005A","Total AGEB urbana",1835,"498"
"016","0064","Total AGEB urbana",936,"251"
"016","0079","Total AGEB urbana",2029,"533"
"016","0083","Total AGEB urbana",674,"181"
"016","0134","Total AGEB urbana",31,"8"
"016","0276","Total AGEB urbana",73,"19"
"016","0308","Total AGEB urbana",0,"0"
"016","0153","Total AGEB urbana",487,"131"
"016","0168","Total AGEB urbana",729,"204"
"016","0172","Total AGEB urbana",763,"193"
"016","0187","Total AGEB urbana",466,"120"
"016","0191","Total AGEB urbana",689,"182"
"016","0204","Total AGEB urbana",436,"109"
"016","0238","Total AGEB urbana",75,"21"
"016","0242","Total AGEB urbana",25,"7"
"016","0257","Total AGEB urbana",55,"15"
"016","0261","Total AGEB urbana",109,"30"
"016","0280","Total AGEB urbana",1406,"397"
"016","0295","Total AGEB urbana",2007,"516"
"017","0000","Total del municipio",10053,"2591"
"017","0023","Total AGEB urbana",630,"164"
"017","0038","Total AGEB urbana",1776,"458"
"017","0042","Total AGEB urbana",1190,"334"
"017","0061","Total AGEB urbana",180,"45"
"017","0076","Total AGEB urbana",28,"8"
"017","0080","Total AGEB urbana",65,"21"
"017","0095","Total AGEB urbana",9,"3"
"017","0108","Total AGEB urbana",97,"24"
"018","0000","Total del municipio",68489,"17283"
"018","0124","Total AGEB urbana",5939,"1314"
"018","0139","Total AGEB urbana",6044,"1359"
"018","0162","Total AGEB urbana",524,"106"
"018","0177","Total AGEB urbana",330,"80"
"018","0209","Total AGEB urbana",201,"46"
"018","004A","Total AGEB urbana",6465,"1389"
"018","0088","Total AGEB urbana",3095,"694"
"018","0196","Total AGEB urbana",3758,"867"
"018","0035","Total AGEB urbana",6832,"1630"
"018","0143","Total AGEB urbana",3919,"976"
"018","0158","Total AGEB urbana",1980,"484"
"018","0213","Total AGEB urbana",42,"9"
"018","0228","Total AGEB urbana",134,"26"
"018","0232","Total AGEB urbana",2713,"966"
"018","0247","Total AGEB urbana",2191,"748"
"018","0251","Total AGEB urbana",3676,"1162"
"018","0266","Total AGEB urbana",2639,"820"
"019","0000","Total del municipio",36921,"8346"
"019","0066","Total AGEB urbana",5443,"1135"
"019","0070","Total AGEB urbana",5093,"1124"
"019","0085","Total AGEB urbana",3711,"799"
"019","009A","Total AGEB urbana",4269,"996"
"019","0102","Total AGEB urbana",814,"171"
"019","0117","Total AGEB urbana",1250,"273"
"019","0136","Total AGEB urbana",316,"79"
"019","016A","Total AGEB urbana",328,"82"
"019","0140","Total AGEB urbana",2724,"638"
"019","0155","Total AGEB urbana",2478,"633"
"019","0121","Total AGEB urbana",5599,"1304"
"020","0000","Total del municipio",293444,"89711"
"020","0029","Total AGEB urbana",1699,"511"
"020","0033","Total AGEB urbana",7014,"2089"
"020","0048","Total AGEB urbana",4390,"1276"
"020","0067","Total AGEB urbana",6832,"2065"
"020","0071","Total AGEB urbana",6107,"1818"
"020","0090","Total AGEB urbana",6299,"1877"
"020","0103","Total AGEB urbana",4997,"1490"
"020","0137","Total AGEB urbana",4506,"1462"
"020","0141","Total AGEB urbana",12429,"3872"
"020","0156","Total AGEB urbana",6859,"2154"
"020","0160","Total AGEB urbana",10294,"3288"
"020","0175","Total AGEB urbana",4621,"1285"
"020","018A","Total AGEB urbana",7663,"2316"
"020","0194","Total AGEB urbana",2499,"776"
"020","0211","Total AGEB urbana",3271,"1039"
"020","025A","Total AGEB urbana",2268,"706"
"020","0300","Total AGEB urbana",1294,"456"
"020","0315","Total AGEB urbana",1615,"487"
"020","032A","Total AGEB urbana",2056,"821"
"020","0334","Total AGEB urbana",2165,"642"
"020","0349","Total AGEB urbana",1896,"583"
"020","0353","Total AGEB urbana",1468,"438"
"020","0368","Total AGEB urbana",1624,"495"
"020","0372","Total AGEB urbana",1416,"500"
"020","0387","Total AGEB urbana",2676,"781"
"020","0391","Total AGEB urbana",1619,"507"
"020","0404","Total AGEB urbana",2259,"703"
"020","0419","Total AGEB urbana",12257,"4074"
"020","0423","Total AGEB urbana",1837,"574"
"020","0438","Total AGEB urbana",3891,"1235"
"020","0457","Total AGEB urbana",2956,"833"
"020","0476","Total AGEB urbana",1549,"495"
"020","0508","Total AGEB urbana",1766,"545"
"020","0512","Total AGEB urbana",2608,"782"
"020","0531","Total AGEB urbana",4710,"1441"
"020","0546","Total AGEB urbana",5528,"1901"
"020","0565","Total AGEB urbana",1886,"619"
"020","057A","Total AGEB urbana",4977,"1387"
"020","0584","Total AGEB urbana",8474,"2341"
"020","0599","Total AGEB urbana",1824,"559"
"020","0601","Total AGEB urbana",5179,"1660"
"020","0616","Total AGEB urbana",2647,"775"
"020","0635","Total AGEB urbana",2539,"735"
"020","064A","Total AGEB urbana",2149,"647"
"020","0654","Total AGEB urbana",6859,"2057"
"020","0669","Total AGEB urbana",5871,"1855"
"020","0673","Total AGEB urbana",4619,"1541"
"020","0688","Total AGEB urbana",2899,"853"
"020","0692","Total AGEB urbana",4363,"1314"
"020","0705","Total AGEB urbana",1625,"477"
"020","071A","Total AGEB urbana",1049,"308"
"020","0724","Total AGEB urbana",1270,"410"
"020","0739","Total AGEB urbana",4325,"1413"
"020","0743","Total AGEB urbana",2308,"685"
"020","0758","Total AGEB urbana",1343,"426"
"020","0762","Total AGEB urbana",595,"200"
"020","0777","Total AGEB urbana",6076,"1911"
"020","0781","Total AGEB urbana",7818,"2447"
"020","0796","Total AGEB urbana",7854,"2388"
"020","0809","Total AGEB urbana",4026,"1093"
"020","0813","Total AGEB urbana",3580,"1129"
"020","0828","Total AGEB urbana",1105,"276"
"020","0832","Total AGEB urbana",3199,"872"
"020","0847","Total AGEB urbana",4397,"1247"
"020","0851","Total AGEB urbana",3939,"1197"
"020","0866","Total AGEB urbana",785,"217"
"020","0870","Total AGEB urbana",295,"95"
"020","0885","Total AGEB urbana",22110,"6513"
"020","089A","Total AGEB urbana",12322,"3700"
"020","0902","Total AGEB urbana",0,"0"
"021","0000","Total del municipio",38643,"9286"
"021","0083","Total AGEB urbana",1413,"368"
"021","0098","Total AGEB urbana",3180,"783"
"021","0100","Total AGEB urbana",2278,"594"
"021","0115","Total AGEB urbana",73,"14"
"022","0000","Total del municipio",15107,"3887"
"022","0042","Total AGEB urbana",3549,"889"
"022","0057","Total AGEB urbana",3466,"885"
"022","0061","Total AGEB urbana",2767,"741"
"022","0076","Total AGEB urbana",9,"3"
"022","0080","Total AGEB urbana",82,"25"
"022","0095","Total AGEB urbana",103,"27"
"022","0108","Total AGEB urbana",23,"6"
"022","0112","Total AGEB urbana",291,"81"
"023","0000","Total del municipio",40885,"9865"
"023","004A","Total AGEB urbana",1289,"327"
"023","0069","Total AGEB urbana",2610,"603"
"023","0073","Total AGEB urbana",1437,"314"
"023","0092","Total AGEB urbana",924,"234"
"023","0105","Total AGEB urbana",5935,"1431"
"023","011A","Total AGEB urbana",2742,"620"
"023","0124","Total AGEB urbana",934,"232"
"023","0139","Total AGEB urbana",4793,"1067"
"023","0143","Total AGEB urbana",5851,"1438"
"023","0158","Total AGEB urbana",3889,"1042"
"023","0162","Total AGEB urbana",5054,"1230"
"023","0196","Total AGEB urbana",1984,"508"
"024","0000","Total del municipio",178847,"52208"
"024","0028","Total AGEB urbana",3444,"1049"
"024","0032","Total AGEB urbana",1533,"471"
"024","0047","Total AGEB urbana",3179,"493"
"024","0051","Total AGEB urbana",1292,"348"
"024","0085","Total AGEB urbana",630,"170"
"024","009A","Total AGEB urbana",3513,"962"
"024","0102","Total AGEB urbana",4895,"1365"
"024","0117","Total AGEB urbana",428,"124"
"024","0121","Total AGEB urbana",3346,"940"
"024","0136","Total AGEB urbana",3447,"953"
"024","0210","Total AGEB urbana",2351,"763"
"024","023A","Total AGEB urbana",3805,"1082"
"024","0244","Total AGEB urbana",2991,"963"
"024","0259","Total AGEB urbana",2232,"616"
"024","0263","Total AGEB urbana",1651,"435"
"024","0329","Total AGEB urbana",1422,"385"
"024","0333","Total AGEB urbana",2108,"682"
"024","0348","Total AGEB urbana",9200,"2737"
"024","0352","Total AGEB urbana",5752,"1672"
"024","0367","Total AGEB urbana",1488,"440"
"024","0371","Total AGEB urbana",4022,"1127"
"024","0386","Total AGEB urbana",555,"147"
"024","0390","Total AGEB urbana",9695,"2742"
"024","0403","Total AGEB urbana",15752,"4371"
"024","0418","Total AGEB urbana",11327,"3433"
"024","0422","Total AGEB urbana",405,"103"
"024","0437","Total AGEB urbana",11236,"3539"
"024","0441","Total AGEB urbana",2941,"920"
"024","0456","Total AGEB urbana",3355,"1005"
"024","0070","Total AGEB urbana",3792,"1108"
"024","016A","Total AGEB urbana",3885,"992"
"024","0278","Total AGEB urbana",2906,"739"
"024","0282","Total AGEB urbana",1650,"485"
"024","0297","Total AGEB urbana",1685,"413"
"024","0013","Total AGEB urbana",5086,"1688"
"024","0066","Total AGEB urbana",5001,"1614"
"024","0475","Total AGEB urbana",3582,"1075"
"024","048A","Total AGEB urbana",7580,"2463"
"024","0494","Total AGEB urbana",4924,"1486"
"024","0174","Total AGEB urbana",3985,"971"
"024","0189","Total AGEB urbana",2899,"876"
"024","0460","Total AGEB urbana",3673,"1069"
"024","0193","Total AGEB urbana",3824,"1269"
"024","0206","Total AGEB urbana",159,"54"
"025","0000","Total del municipio",400057,"104440"
"025","0129","Total AGEB urbana",3497,"957"
"025","0769","Total AGEB urbana",5450,"1486"
"025","0773","Total AGEB urbana",4435,"1258"
"025","0788","Total AGEB urbana",4024,"1032"
"025","0792","Total AGEB urbana",3237,"799"
"025","0805","Total AGEB urbana",2660,"675"
